Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A011971'>A011971</a>,[1 1 2 2 3 5 5 7 10 15 ]
Reverse,<a href='https://oeis.org/A123346'>A123346</a>,[1 2 1 5 3 2 15 10 7 5 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 2 2 5 3 15 7 5 52 ]'>nomatch</a>,[1 1 2 2 5 3 15 7 5 52 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 2 3 1 5 10 5 1 ]'>nomatch</a>,[1 1 1 2 3 1 5 10 5 1 ]
Sum,<a href='https://oeis.org/A005493'>A005493</a>,[1 3 10 37 151 674 3263 17007 94828 562595 ]
EvenSum,<a href='https://oeis.org/?q=[1 1 7 15 94 290 1925 7541 54217 254189 ]'>nomatch</a>,[1 1 7 15 94 290 1925 7541 54217 254189 ]
OddSum,<a href='https://oeis.org/?q=[0 2 3 22 57 384 1338 9466 40611 308406 ]'>nomatch</a>,[0 2 3 22 57 384 1338 9466 40611 308406 ]
AltSum,<a href='https://oeis.org/?q=[1 -1 4 -7 37 -94 587 -1925 13606 -54217 ]'>nomatch</a>,[1 -1 4 -7 37 -94 587 -1925 13606 -54217 ]
DiagSum,<a href='https://oeis.org/?q=[1 1 4 8 27 82 312 1256 5708 28059 ]'>nomatch</a>,[1 1 4 8 27 82 312 1256 5708 28059 ]
Middle,<a href='https://oeis.org/A216078'>A216078</a>,[1 1 3 7 27 87 409 1657 9089 43833 ]
Central,<a href='https://oeis.org/A094577'>A094577</a>,[1 3 27 409 9089 272947 10515147 501178937 28773452321 1949230218691 ]
LeftSide,<a href='https://oeis.org/A000110'>A000110</a>,[1 1 2 5 15 52 203 877 4140 21147 ]
RightSide,<a href='https://oeis.org/A000110'>A000110</a>,[1 2 5 15 52 203 877 4140 21147 115975 ]
PosHalf,<a href='https://oeis.org/?q=[1 4 19 103 634 4393 33893 288158 2674849 26888251 ]'>nomatch</a>,[1 4 19 103 634 4393 33893 288158 2674849 26888251 ]
NegHalf,<a href='https://oeis.org/?q=[1 0 7 -17 166 -931 8333 -67902 668341 -6733957 ]'>nomatch</a>,[1 0 7 -17 166 -931 8333 -67902 668341 -6733957 ]
PolyVal2,<a href='https://oeis.org/A095676'>A095676</a>,[1 5 28 179 1291 10358 91337 876289 9070546 100596161 ]
PolyVal3,<a href='https://oeis.org/?q=[1 7 56 521 5529 65674 860387 12290251 189680754 3139572183 ]'>nomatch</a>,[1 7 56 521 5529 65674 860387 12290251 189680754 3139572183 ]
BinConv,<a href='https://oeis.org/A126390'>A126390</a>,[1 3 13 71 457 3355 27509 248127 2434129 25741939 ]
IBinConv,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
TransSqrs,<a href='https://oeis.org/?q=[0 2 23 182 1293 8932 62014 439442 3202127 24081458 ]'>nomatch</a>,[0 2 23 182 1293 8932 62014 439442 3202127 24081458 ]
TransNat0,<a href='https://oeis.org/?q=[0 2 13 72 393 2202 12850 78488 502327 3366648 ]'>nomatch</a>,[0 2 13 72 393 2202 12850 78488 502327 3366648 ]
TransNat1,<a href='https://oeis.org/A278677'>A278677</a>,[1 5 23 109 544 2876 16113 95495 597155 3929243 ]
