Anumber,Triangle,Type,Trait,Sequence
A011971,Aitken,Std,Triangle,[1 1 2 2 3 5 5 7 10 15 ]
A123346,Aitken,Std,Reverse,[1 2 1 5 3 2 15 10 7 5 ]
nothing,Aitken,Std,DiagTri,[1 1 2 2 5 3 15 7 5 52 ]
nothing,Aitken,Std,PolyTri,[1 1 1 2 3 1 5 10 5 1 ]
A005493,Aitken,Std,Sum,[1 3 10 37 151 674 3263 17007 94828 562595 ]
nothing,Aitken,Std,EvenSum,[1 1 7 15 94 290 1925 7541 54217 254189 ]
nothing,Aitken,Std,OddSum,[0 2 3 22 57 384 1338 9466 40611 308406 ]
nothing,Aitken,Std,AltSum,[1 -1 4 -7 37 -94 587 -1925 13606 -54217 ]
nothing,Aitken,Std,DiagSum,[1 1 4 8 27 82 312 1256 5708 28059 ]
A216078,Aitken,Std,Middle,[1 1 3 7 27 87 409 1657 9089 43833 ]
A094577,Aitken,Std,Central,[1 3 27 409 9089 272947 10515147 501178937 28773452321 1949230218691 ]
A000110,Aitken,Std,LeftSide,[1 1 2 5 15 52 203 877 4140 21147 ]
A000110,Aitken,Std,RightSide,[1 2 5 15 52 203 877 4140 21147 115975 ]
nothing,Aitken,Std,PosHalf,[1 4 19 103 634 4393 33893 288158 2674849 26888251 ]
nothing,Aitken,Std,NegHalf,[1 0 7 -17 166 -931 8333 -67902 668341 -6733957 ]
A095676,Aitken,Std,PolyVal2,[1 5 28 179 1291 10358 91337 876289 9070546 100596161 ]
nothing,Aitken,Std,PolyVal3,[1 7 56 521 5529 65674 860387 12290251 189680754 3139572183 ]
A126390,Aitken,Std,BinConv,[1 3 13 71 457 3355 27509 248127 2434129 25741939 ]
A000012,Aitken,Std,IBinConv,[1 1 1 1 1 1 1 1 1 1 ]
nothing,Aitken,Std,TransSqrs,[0 2 23 182 1293 8932 62014 439442 3202127 24081458 ]
nothing,Aitken,Std,TransNat0,[0 2 13 72 393 2202 12850 78488 502327 3366648 ]
A278677,Aitken,Std,TransNat1,[1 5 23 109 544 2876 16113 95495 597155 3929243 ]
A122850,Bessel1,Std,Triangle,[1 0 1 0 -1 1 0 3 -3 1 ]
A104548,Bessel1,Std,Reverse,[1 1 0 1 -1 0 1 -3 3 0 ]
A122848,Bessel1,Std,Inverse,[1 0 1 0 1 1 0 0 3 1 ]
A144299,Bessel1,Std,RevInv,[1 1 0 1 1 0 1 3 0 0 ]
nothing,Bessel1,Std,DiagTri,[1 0 0 1 0 -1 0 3 1 0 ]
nothing,Bessel1,Std,PolyTri,[1 0 1 0 1 1 0 0 2 1 ]
A000806,Bessel1,Std,Sum,[1 1 0 1 -5 36 -329 3655 -47844 721315 ]
nothing,Bessel1,Std,EvenSum,[1 0 1 -3 16 -115 1051 -11676 152839 -2304261 ]
A025164,Bessel1,Std,OddSum,[0 1 -1 4 -21 151 -1380 15331 -200683 3025576 ]
A144301,Bessel1,Std,AltSum,[1 -1 2 -7 37 -266 2431 -27007 353522 -5329837 ]
nothing,Bessel1,Std,DiagSum,[1 0 1 -1 4 -18 121 -1056 11386 -145960 ]
nothing,Bessel1,Std,Middle,[1 0 -1 3 15 -105 -420 4725 17325 -270270 ]
nothing,Bessel1,Std,Central,[1 -1 15 -420 17325 -945945 64324260 -5237832600 496939367925 -53835098191875 ]
A000007,Bessel1,Std,LeftSide,[1 0 0 0 0 0 0 0 0 0 ]
A000012,Bessel1,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A002119,Bessel1,Std,PosHalf,[1 1 -1 7 -71 1001 -18089 398959 -10391023 312129649 ]
A080893,Bessel1,Std,NegHalf,[1 1 3 19 193 2721 49171 1084483 28245729 848456353 ]
nothing,Bessel1,Std,PolyVal2,[1 2 2 2 -2 22 -206 2354 -31426 480806 ]
nothing,Bessel1,Std,PolyVal3,[1 3 6 9 9 18 -81 1053 -14418 225747 ]
nothing,Bessel1,Std,BinConv,[1 1 -1 1 7 -124 1591 -19991 256691 -3335228 ]
