Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A122850'>A122850</a>,[1 0 1 0 -1 1 0 3 -3 1 ]
Reverse,<a href='https://oeis.org/A104548'>A104548</a>,[1 1 0 1 -1 0 1 -3 3 0 ]
Inverse,<a href='https://oeis.org/A122848'>A122848</a>,[1 0 1 0 1 1 0 0 3 1 ]
RevInv,<a href='https://oeis.org/A144299'>A144299</a>,[1 1 0 1 1 0 1 3 0 0 ]
DiagTri,<a href='https://oeis.org/?q=[1 0 0 1 0 -1 0 3 1 0 ]'>nomatch</a>,[1 0 0 1 0 -1 0 3 1 0 ]
PolyTri,<a href='https://oeis.org/?q=[1 0 1 0 1 1 0 0 2 1 ]'>nomatch</a>,[1 0 1 0 1 1 0 0 2 1 ]
Sum,<a href='https://oeis.org/A000806'>A000806</a>,[1 1 0 1 -5 36 -329 3655 -47844 721315 ]
EvenSum,<a href='https://oeis.org/?q=[1 0 1 -3 16 -115 1051 -11676 152839 -2304261 ]'>nomatch</a>,[1 0 1 -3 16 -115 1051 -11676 152839 -2304261 ]
OddSum,<a href='https://oeis.org/A025164'>A025164</a>,[0 1 -1 4 -21 151 -1380 15331 -200683 3025576 ]
AltSum,<a href='https://oeis.org/A144301'>A144301</a>,[1 -1 2 -7 37 -266 2431 -27007 353522 -5329837 ]
DiagSum,<a href='https://oeis.org/?q=[1 0 1 -1 4 -18 121 -1056 11386 -145960 ]'>nomatch</a>,[1 0 1 -1 4 -18 121 -1056 11386 -145960 ]
Middle,<a href='https://oeis.org/?q=[1 0 -1 3 15 -105 -420 4725 17325 -270270 ]'>nomatch</a>,[1 0 -1 3 15 -105 -420 4725 17325 -270270 ]
Central,<a href='https://oeis.org/?q=[1 -1 15 -420 17325 -945945 64324260 -5237832600 496939367925 -53835098191875 ]'>nomatch</a>,[1 -1 15 -420 17325 -945945 64324260 -5237832600 496939367925 -53835098191875 ]
LeftSide,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A002119'>A002119</a>,[1 1 -1 7 -71 1001 -18089 398959 -10391023 312129649 ]
NegHalf,<a href='https://oeis.org/A080893'>A080893</a>,[1 1 3 19 193 2721 49171 1084483 28245729 848456353 ]
PolyVal2,<a href='https://oeis.org/?q=[1 2 2 2 -2 22 -206 2354 -31426 480806 ]'>nomatch</a>,[1 2 2 2 -2 22 -206 2354 -31426 480806 ]
PolyVal3,<a href='https://oeis.org/?q=[1 3 6 9 9 18 -81 1053 -14418 225747 ]'>nomatch</a>,[1 3 6 9 9 18 -81 1053 -14418 225747 ]
BinConv,<a href='https://oeis.org/?q=[1 1 -1 1 7 -124 1591 -19991 256691 -3335228 ]'>nomatch</a>,[1 1 -1 1 7 -124 1591 -19991 256691 -3335228 ]
IBinConv,<a href='https://oeis.org/?q=[1 1 3 19 175 2076 29911 505093 9757539 211883500 ]'>nomatch</a>,[1 1 3 19 175 2076 29911 505093 9757539 211883500 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 3 0 7 -45 396 -4277 54825 -813348 ]'>nomatch</a>,[0 1 3 0 7 -45 396 -4277 54825 -813348 ]
TransNat0,<a href='https://oeis.org/?q=[0 1 1 0 1 -5 36 -329 3655 -47844 ]'>nomatch</a>,[0 1 1 0 1 -5 36 -329 3655 -47844 ]
TransNat1,<a href='https://oeis.org/A231622'>A231622</a>,[1 2 1 1 -4 31 -293 3326 -44189 673471 ]
