ANumber,Triangle,Type,Trait,Sequence
A053121,Catalan,Std,Triangle,[1 0 1 1 0 1 0 2 0 1 ]
A052173,Catalan,Std,Reverse,[1 1 0 1 0 1 1 0 2 0 ]
A049310,Catalan,Std,Inverse,[1 0 1 -1 0 1 0 -2 0 1 ]
A053119,Catalan,Std,RevInv,[1 1 0 1 0 -1 1 0 -2 0 ]
nothing,Catalan,Std,DiagTri,[1 0 1 1 0 0 2 2 1 0 ]
nothing,Catalan,Std,PolyTri,[1 0 1 1 1 1 0 2 2 1 ]
A001405,Catalan,Std,Sum,[1 1 2 3 6 10 20 35 70 126 ]
A126869,Catalan,Std,EvenSum,[1 0 2 0 6 0 20 0 70 0 ]
A138364,Catalan,Std,OddSum,[0 1 0 3 0 10 0 35 0 126 ]
A001405,Catalan,Std,AltSum,[1 -1 2 -3 6 -10 20 -35 70 -126 ]
nothing,Catalan,Std,DiagSum,[1 0 2 0 5 0 14 0 42 0 ]
nothing,Catalan,Std,Middle,[1 0 0 2 3 0 0 14 20 0 ]
nothing,Catalan,Std,Central,[1 0 3 0 20 0 154 0 1260 0 ]
A126120,Catalan,Std,LeftSide,[1 0 1 0 2 0 5 0 14 0 ]
A000012,Catalan,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A121724,Catalan,Std,PosHalf,[1 1 5 9 45 97 485 1145 5725 14289 ]
A121724,Catalan,Std,NegHalf,[1 1 5 9 45 97 485 1145 5725 14289 ]
A054341,Catalan,Std,PolyVal2,[1 2 5 12 30 74 185 460 1150 2868 ]
A126931,Catalan,Std,PolyVal3,[1 3 10 33 110 366 1220 4065 13550 45162 ]
nothing,Catalan,Std,BinConv,[1 1 2 7 21 66 216 715 2395 8101 ]
nothing,Catalan,Std,IBinConv,[1 1 2 7 21 66 216 715 2395 8101 ]
nothing,Catalan,Std,TransSqrs,[0 1 4 11 28 66 152 339 748 1622 ]
A045621,Catalan,Std,TransNat0,[0 1 2 5 10 22 44 93 186 386 ]
A000079,Catalan,Std,TransNat1,[1 2 4 8 16 32 64 128 256 512 ]
