Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A008288'>A008288</a>,[1 1 1 1 3 1 1 5 5 1 ]
Reverse,<a href='https://oeis.org/A008288'>A008288</a>,[1 1 1 1 3 1 1 5 5 1 ]
Inverse,<a href='https://oeis.org/A103136'>A103136</a>,[1 -1 1 2 -3 1 -6 10 -5 1 ]
RevInv,<a href='https://oeis.org/A033878'>A033878</a>,[1 1 -1 1 -3 2 1 -5 10 -6 ]
InvRev,<a href='https://oeis.org/A103136'>A103136</a>,[1 -1 1 2 -3 1 -6 10 -5 1 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 1 1 1 3 1 5 1 1 ]'>nomatch</a>,[1 1 1 1 1 3 1 5 1 1 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 1 2 1 1 5 3 1 ]'>nomatch</a>,[1 1 1 1 2 1 1 5 3 1 ]
Sum,<a href='https://oeis.org/A077985'>A077985</a>,[1 2 5 12 29 70 169 408 985 2378 ]
EvenSum,<a href='https://oeis.org/A116404'>A116404</a>,[1 1 2 6 15 35 84 204 493 1189 ]
OddSum,<a href='https://oeis.org/?q=[0 1 3 6 14 35 85 204 492 1189 ]'>nomatch</a>,[0 1 3 6 14 35 85 204 492 1189 ]
AltSum,<a href='https://oeis.org/A014581'>A014581</a>,[1 0 -1 0 1 0 -1 0 1 0 ]
DiagSum,<a href='https://oeis.org/?q=[1 1 2 4 7 13 24 44 81 149 ]'>nomatch</a>,[1 1 2 4 7 13 24 44 81 149 ]
Middle,<a href='https://oeis.org/A026003'>A026003</a>,[1 1 3 5 13 25 63 129 321 681 ]
Central,<a href='https://oeis.org/A001850'>A001850</a>,[1 3 13 63 321 1683 8989 48639 265729 1462563 ]
LeftSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A007482'>A007482</a>,[1 3 11 39 139 495 1763 6279 22363 79647 ]
NegHalf,<a href='https://oeis.org/A077020'>A077020</a>,[1 -1 -1 3 -1 -5 7 3 -17 11 ]
PolyVal2,<a href='https://oeis.org/A007482'>A007482</a>,[1 3 11 39 139 495 1763 6279 22363 79647 ]
PolyVal3,<a href='https://oeis.org/A015530'>A015530</a>,[1 4 19 88 409 1900 8827 41008 190513 885076 ]
BinConv,<a href='https://oeis.org/A006139'>A006139</a>,[1 2 8 32 136 592 2624 11776 53344 243392 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 -4 0 24 0 -160 0 1120 0 ]'>nomatch</a>,[1 0 -4 0 24 0 -160 0 1120 0 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 7 34 138 503 1709 5524 17204 52061 ]'>nomatch</a>,[0 1 7 34 138 503 1709 5524 17204 52061 ]
TransNat0,<a href='https://oeis.org/?q=[0 1 5 18 58 175 507 1428 3940 10701 ]'>nomatch</a>,[0 1 5 18 58 175 507 1428 3940 10701 ]
TransNat1,<a href='https://oeis.org/A026937'>A026937</a>,[1 3 10 30 87 245 676 1836 4925 13079 ]
