Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A109449'>A109449</a>,[1 1 1 1 2 1 2 3 3 1 ]
Reverse,<a href='https://oeis.org/?q=[1 1 1 1 2 1 1 3 3 2 ]'>nomatch</a>,[1 1 1 1 2 1 1 3 3 2 ]
Inverse,<a href='https://oeis.org/A109449'>A109449</a>,[1 -1 1 1 -2 1 -2 3 -3 1 ]
RevInv,<a href='https://oeis.org/?q=[1 1 -1 1 -2 1 1 -3 3 -2 ]'>nomatch</a>,[1 1 -1 1 -2 1 1 -3 3 -2 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 1 1 2 2 5 3 1 16 ]'>nomatch</a>,[1 1 1 1 2 2 5 3 1 16 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 1 2 1 2 4 3 1 ]'>nomatch</a>,[1 1 1 1 2 1 2 4 3 1 ]
Sum,<a href='https://oeis.org/A000667'>A000667</a>,[1 2 4 9 24 77 294 1309 6664 38177 ]
EvenSum,<a href='https://oeis.org/A062272'>A062272</a>,[1 1 2 5 12 41 152 685 3472 19921 ]
OddSum,<a href='https://oeis.org/A062161'>A062161</a>,[0 1 2 4 12 36 142 624 3192 18256 ]
AltSum,<a href='https://oeis.org/A062162'>A062162</a>,[1 0 0 1 0 5 10 61 280 1665 ]
DiagSum,<a href='https://oeis.org/?q=[1 1 2 4 9 27 93 392 1898 10493 ]'>nomatch</a>,[1 1 2 4 9 27 93 392 1898 10493 ]
Middle,<a href='https://oeis.org/?q=[1 1 2 3 6 20 40 175 350 2016 ]'>nomatch</a>,[1 1 2 3 6 20 40 175 350 2016 ]
Central,<a href='https://oeis.org/?q=[1 2 6 40 350 4032 56364 933504 17824950 385848320 ]'>nomatch</a>,[1 2 6 40 350 4032 56364 933504 17824950 385848320 ]
LeftSide,<a href='https://oeis.org/A000111'>A000111</a>,[1 1 1 2 5 16 61 272 1385 7936 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A000834'>A000834</a>,[1 3 9 35 177 1123 8569 76355 777697 8911683 ]
NegHalf,<a href='https://oeis.org/?q=[1 -1 1 -9 33 -241 1761 -15929 161473 -1853281 ]'>nomatch</a>,[1 -1 1 -9 33 -241 1761 -15929 161473 -1853281 ]
PolyVal2,<a href='https://oeis.org/A000752'>A000752</a>,[1 3 9 28 93 338 1369 6238 31993 183618 ]
PolyVal3,<a href='https://oeis.org/A307878'>A307878</a>,[1 4 16 65 272 1189 5506 27365 147512 868129 ]
BinConv,<a href='https://oeis.org/?q=[1 2 6 21 90 467 2824 19383 148414 1251935 ]'>nomatch</a>,[1 2 6 21 90 467 2824 19383 148414 1251935 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 -2 -1 -6 -15 0 -271 574 -5379 ]'>nomatch</a>,[1 0 -2 -1 -6 -15 0 -271 574 -5379 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 6 24 84 300 1182 5292 26936 154224 ]'>nomatch</a>,[0 1 6 24 84 300 1182 5292 26936 154224 ]
TransNat0,<a href='https://oeis.org/A231179'>A231179</a>,[0 1 4 12 36 120 462 2058 10472 59976 ]
TransNat1,<a href='https://oeis.org/A000737'>A000737</a>,[1 3 8 21 60 197 756 3367 17136 98153 ]
