Trait,ANumber,Sequence
Triangle,A119879,[1 0 1 -1 0 1 0 -3 0 1 ]
Reverse,nothing,[1 1 0 1 0 -1 1 0 -3 0 ]
Inverse,A119467,[1 0 1 1 0 1 0 3 0 1 ]
RevInv,A141665,[1 1 0 1 0 1 1 0 3 0 ]
DiagTri,nothing,[1 0 -1 1 0 0 5 -3 1 0 ]
PolyTri,A247498,[1 0 1 -1 1 1 0 0 2 1 ]
Sum,A009006,[1 1 0 -2 0 16 0 -272 0 7936 ]
EvenSum,A000007,[1 0 0 0 0 0 0 0 0 0 ]
OddSum,A009006,[0 1 0 -2 0 16 0 -272 0 7936 ]
AltSum,A009006,[1 -1 0 2 0 -16 0 272 0 -7936 ]
DiagSum,nothing,[1 0 0 0 3 0 -41 0 1024 0 ]
Middle,nothing,[1 0 0 -3 -6 0 0 175 350 0 ]
Central,nothing,[1 0 -6 0 350 0 -56364 0 17824950 0 ]
LeftSide,A122045,[1 0 -1 0 5 0 -61 0 1385 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A001586,[1 1 -3 -11 57 361 -2763 -24611 250737 2873041 ]
NegHalf,A001586,[1 1 -3 -11 57 361 -2763 -24611 250737 2873041 ]
PolyVal2,A119880,[1 2 3 2 -3 2 63 2 -1383 2 ]
PolyVal3,A119881,[1 3 8 18 32 48 128 528 512 -6912 ]
BinConv,nothing,[1 1 0 -8 -30 26 840 2696 -22722 -240146 ]
IBinConv,nothing,[1 1 0 -8 -30 26 840 2696 -22722 -240146 ]
TransSqrs,nothing,[0 1 4 6 -8 -40 96 672 -2176 -19584 ]
TransNat0,A109573,[0 1 2 0 -8 0 96 0 -2176 0 ]
TransNat1,nothing,[1 2 2 -2 -8 16 96 -272 -2176 7936 ]
