Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A162660'>A162660</a>,[0 1 0 0 2 0 -2 0 3 0 ]
Reverse,<a href='https://oeis.org/?q=[0 0 1 0 2 0 0 3 0 -2 ]'>nomatch</a>,[0 0 1 0 2 0 0 3 0 -2 ]
DiagTri,<a href='https://oeis.org/?q=[0 1 0 0 -2 2 0 0 0 16 ]'>nomatch</a>,[0 1 0 0 -2 2 0 0 0 16 ]
PolyTri,<a href='https://oeis.org/?q=[0 1 0 0 1 0 -2 2 1 0 ]'>nomatch</a>,[0 1 0 0 1 0 -2 2 1 0 ]
Sum,<a href='https://oeis.org/A009832'>A009832</a>,[0 1 2 1 -4 1 62 1 -1384 1 ]
EvenSum,<a href='https://oeis.org/A000035'>A000035</a>,[0 1 0 1 0 1 0 1 0 1 ]
OddSum,<a href='https://oeis.org/?q=[0 0 2 0 -4 0 62 0 -1384 0 ]'>nomatch</a>,[0 0 2 0 -4 0 62 0 -1384 0 ]
AltSum,<a href='https://oeis.org/A009832'>A009832</a>,[0 1 -2 1 4 1 -62 1 1384 1 ]
DiagSum,<a href='https://oeis.org/?q=[0 1 0 0 0 11 0 -192 0 6061 ]'>nomatch</a>,[0 1 0 0 0 11 0 -192 0 6061 ]
Middle,<a href='https://oeis.org/?q=[0 1 2 0 0 -20 -40 0 0 2016 ]'>nomatch</a>,[0 1 2 0 0 -20 -40 0 0 2016 ]
Central,<a href='https://oeis.org/A214447'>A214447</a>,[0 2 0 -40 0 4032 0 -933504 0 385848320 ]
LeftSide,<a href='https://oeis.org/A009006'>A009006</a>,[0 1 0 -2 0 16 0 -272 0 7936 ]
RightSide,<a href='https://oeis.org/A000004'>A000004</a>,[0 0 0 0 0 0 0 0 0 0 ]
PosHalf,<a href='https://oeis.org/?q=[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]'>nomatch</a>,[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]
NegHalf,<a href='https://oeis.org/?q=[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]'>nomatch</a>,[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]
PolyVal2,<a href='https://oeis.org/?q=[0 1 4 10 16 16 64 400 256 -7424 ]'>nomatch</a>,[0 1 4 10 16 16 64 400 256 -7424 ]
PolyVal3,<a href='https://oeis.org/?q=[0 1 6 25 84 241 666 2185 7944 19681 ]'>nomatch</a>,[0 1 6 25 84 241 666 2185 7944 19681 ]
BinConv,<a href='https://oeis.org/?q=[0 1 4 7 -16 -159 -188 4383 26560 -104591 ]'>nomatch</a>,[0 1 4 7 -16 -159 -188 4383 26560 -104591 ]
IBinConv,<a href='https://oeis.org/?q=[0 -1 -4 -7 16 159 188 -4383 -26560 104591 ]'>nomatch</a>,[0 -1 -4 -7 16 159 188 -4383 -26560 104591 ]
TransSqrs,<a href='https://oeis.org/?q=[0 0 2 12 28 0 -114 476 3480 -12384 ]'>nomatch</a>,[0 0 2 12 28 0 -114 476 3480 -12384 ]
TransNat0,<a href='https://oeis.org/?q=[0 0 2 6 4 -20 6 434 8 -12456 ]'>nomatch</a>,[0 0 2 6 4 -20 6 434 8 -12456 ]
TransNat1,<a href='https://oeis.org/?q=[0 1 4 7 0 -19 68 435 -1376 -12455 ]'>nomatch</a>,[0 1 4 7 0 -19 68 435 -1376 -12455 ]
