Trait,ANumber,Sequence
Triangle,A173018,[1 1 0 1 1 0 1 4 1 0 ]
Reverse,A123125,[1 0 1 0 1 1 0 1 4 1 ]
InvRev,nothing,[1 0 1 0 -1 1 0 3 -4 1 ]
DiagTri,nothing,[1 1 1 0 1 1 1 4 0 1 ]
PolyTri,A332700,[1 1 1 1 1 1 1 2 1 1 ]
Sum,A000142,[1 1 2 6 24 120 720 5040 40320 362880 ]
EvenSum,A128103,[1 1 1 2 12 68 360 2384 20160 185408 ]
OddSum,A262745,[0 0 1 4 12 52 360 2656 20160 177472 ]
AltSum,A009006,[1 1 0 -2 0 16 0 -272 0 7936 ]
DiagSum,A000800,[1 1 1 2 5 13 38 125 449 1742 ]
Middle,A006551,[1 1 1 4 11 66 302 2416 15619 156190 ]
Central,A180056,[1 1 11 302 15619 1310354 162512286 27971176092 6382798925475 1865385657780650 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000007,[1 0 0 0 0 0 0 0 0 0 ]
PosHalf,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 ]
NegHalf,A087674,[1 1 -1 -3 15 21 -441 477 19935 -101979 ]
PolyVal2,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 ]
PolyVal3,A122704,[1 1 4 22 160 1456 15904 202672 2951680 48361216 ]
BinConv,A011818,[1 1 3 16 115 1056 11774 154624 2337507 39984640 ]
IBinConv,nothing,[1 -1 -1 8 19 -276 -1002 21216 103395 -2881180 ]
TransSqrs,nothing,[0 0 1 8 64 540 4920 48720 524160 6108480 ]
TransNat0,A180119,[0 0 1 6 36 240 1800 15120 141120 1451520 ]
TransNat1,A001710,[1 1 3 12 60 360 2520 20160 181440 1814400 ]
