Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A340556'>A340556</a>,[1 0 1 0 1 2 0 1 8 6 ]
Reverse,<a href='https://oeis.org/A163936'>A163936</a>,[1 1 0 2 1 0 6 8 1 0 ]
DiagTri,<a href='https://oeis.org/?q=[1 0 0 1 0 1 0 1 2 0 ]'>nomatch</a>,[1 0 0 1 0 1 0 1 2 0 ]
PolyTri,<a href='https://oeis.org/?q=[1 0 1 0 1 1 0 3 2 1 ]'>nomatch</a>,[1 0 1 0 1 1 0 3 2 1 ]
Sum,<a href='https://oeis.org/A001147'>A001147</a>,[1 1 3 15 105 945 10395 135135 2027025 34459425 ]
EvenSum,<a href='https://oeis.org/?q=[1 0 2 8 46 496 5234 66344 1021918 17237488 ]'>nomatch</a>,[1 0 2 8 46 496 5234 66344 1021918 17237488 ]
OddSum,<a href='https://oeis.org/?q=[0 1 1 7 59 449 5161 68791 1005107 17221937 ]'>nomatch</a>,[0 1 1 7 59 449 5161 68791 1005107 17221937 ]
AltSum,<a href='https://oeis.org/A001662'>A001662</a>,[1 -1 1 1 -13 47 73 -2447 16811 15551 ]
DiagSum,<a href='https://oeis.org/?q=[1 0 1 1 3 9 29 111 467 2137 ]'>nomatch</a>,[1 0 1 1 3 9 29 111 467 2137 ]
Middle,<a href='https://oeis.org/?q=[1 0 1 1 22 52 1452 5610 195800 1062500 ]'>nomatch</a>,[1 0 1 1 22 52 1452 5610 195800 1062500 ]
Central,<a href='https://oeis.org/?q=[1 1 22 1452 195800 44765000 15548960784 7634832149392 5036317938475648 4297211671488276816 ]'>nomatch</a>,[1 1 22 1452 195800 44765000 15548960784 7634832149392 5036317938475648 4297211671488276816 ]
LeftSide,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
RightSide,<a href='https://oeis.org/A000142'>A000142</a>,[1 1 2 6 24 120 720 5040 40320 362880 ]
PosHalf,<a href='https://oeis.org/A000311'>A000311</a>,[1 1 4 26 236 2752 39208 660032 12818912 282137824 ]
NegHalf,<a href='https://oeis.org/A341106'>A341106</a>,[1 1 0 -6 -12 144 1080 -5184 -127008 -95904 ]
PolyVal2,<a href='https://oeis.org/A112487'>A112487</a>,[1 2 10 82 938 13778 247210 5240338 128149802 3551246162 ]
PolyVal3,<a href='https://oeis.org/?q=[1 3 21 237 3711 74451 1822557 52680189 1755990327 66313036227 ]'>nomatch</a>,[1 3 21 237 3711 74451 1822557 52680189 1755990327 66313036227 ]
BinConv,<a href='https://oeis.org/?q=[1 1 4 33 392 6145 119724 2789465 75660080 2341894185 ]'>nomatch</a>,[1 1 4 33 392 6145 119724 2789465 75660080 2341894185 ]
IBinConv,<a href='https://oeis.org/?q=[1 1 0 -15 -80 665 17136 55209 -4162752 -83069415 ]'>nomatch</a>,[1 1 0 -15 -80 665 17136 55209 -4162752 -83069415 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 9 87 995 13265 202545 3489255 66981915 1418241825 ]'>nomatch</a>,[0 1 9 87 995 13265 202545 3489255 66981915 1418241825 ]
TransNat0,<a href='https://oeis.org/A051577'>A051577</a>,[0 1 5 35 315 3465 45045 675675 11486475 218243025 ]
TransNat1,<a href='https://oeis.org/?q=[1 2 8 50 420 4410 55440 810810 13513500 252702450 ]'>nomatch</a>,[1 2 8 50 420 4410 55440 810810 13513500 252702450 ]
