Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A008279'>A008279</a>,[1 1 1 1 2 2 1 3 6 6 ]
Reverse,<a href='https://oeis.org/A094587'>A094587</a>,[1 1 1 2 2 1 6 6 3 1 ]
InvRev,<a href='https://oeis.org/A128229'>A128229</a>,[1 -1 1 0 -2 1 0 0 -3 1 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 1 1 1 2 1 3 2 1 ]'>nomatch</a>,[1 1 1 1 1 2 1 3 2 1 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 1 2 1 1 5 3 1 ]'>nomatch</a>,[1 1 1 1 2 1 1 5 3 1 ]
Sum,<a href='https://oeis.org/A000522'>A000522</a>,[1 2 5 16 65 326 1957 13700 109601 986410 ]
EvenSum,<a href='https://oeis.org/A087208'>A087208</a>,[1 1 3 7 37 141 1111 5923 62217 426457 ]
OddSum,<a href='https://oeis.org/A002747'>A002747</a>,[0 1 2 9 28 185 846 7777 47384 559953 ]
AltSum,<a href='https://oeis.org/A000166'>A000166</a>,[1 0 1 -2 9 -44 265 -1854 14833 -133496 ]
DiagSum,<a href='https://oeis.org/A122852'>A122852</a>,[1 1 2 3 6 11 24 51 122 291 ]
Middle,<a href='https://oeis.org/A205825'>A205825</a>,[1 1 2 3 12 20 120 210 1680 3024 ]
Central,<a href='https://oeis.org/A001813'>A001813</a>,[1 2 12 120 1680 30240 665280 17297280 518918400 17643225600 ]
LeftSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,<a href='https://oeis.org/A000142'>A000142</a>,[1 1 2 6 24 120 720 5040 40320 362880 ]
PosHalf,<a href='https://oeis.org/A010842'>A010842</a>,[1 3 10 38 168 872 5296 37200 297856 2681216 ]
NegHalf,<a href='https://oeis.org/A000023'>A000023</a>,[1 -1 2 -2 8 8 112 656 5504 49024 ]
PolyVal2,<a href='https://oeis.org/A010844'>A010844</a>,[1 3 13 79 633 6331 75973 1063623 17017969 306323443 ]
PolyVal3,<a href='https://oeis.org/A010845'>A010845</a>,[1 4 25 226 2713 40696 732529 15383110 369194641 9968255308 ]
BinConv,<a href='https://oeis.org/A002720'>A002720</a>,[1 2 7 34 209 1546 13327 130922 1441729 17572114 ]
IBinConv,<a href='https://oeis.org/A009940'>A009940</a>,[1 0 -1 -4 -15 -56 -185 -204 6209 112400 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 10 81 652 5545 50886 506905 5480056 64116657 ]'>nomatch</a>,[0 1 10 81 652 5545 50886 506905 5480056 64116657 ]
TransNat0,<a href='https://oeis.org/A093964'>A093964</a>,[0 1 6 33 196 1305 9786 82201 767208 7891281 ]
TransNat1,<a href='https://oeis.org/A001339'>A001339</a>,[1 3 11 49 261 1631 11743 95901 876809 8877691 ]
