Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A193737'>A193737</a>,[1 1 1 1 2 1 2 4 3 1 ]
Reverse,<a href='https://oeis.org/A193736'>A193736</a>,[1 1 1 1 2 1 1 3 4 2 ]
Inverse,<a href='https://oeis.org/?q=[1 -1 1 1 -2 1 -1 2 -3 1 ]'>nomatch</a>,[1 -1 1 1 -2 1 -1 2 -3 1 ]
RevInv,<a href='https://oeis.org/?q=[1 1 -1 1 -2 1 1 -3 2 -1 ]'>nomatch</a>,[1 1 -1 1 -2 1 1 -3 2 -1 ]
DiagTri,<a href='https://oeis.org/A119473'>A119473</a>,[1 1 1 1 2 2 3 4 1 5 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 1 2 1 2 4 3 1 ]'>nomatch</a>,[1 1 1 1 2 1 2 4 3 1 ]
Sum,<a href='https://oeis.org/A052542'>A052542</a>,[1 2 4 10 24 58 140 338 816 1970 ]
EvenSum,<a href='https://oeis.org/A215928'>A215928</a>,[1 1 2 5 12 29 70 169 408 985 ]
OddSum,<a href='https://oeis.org/A000129'>A000129</a>,[0 1 2 5 12 29 70 169 408 985 ]
AltSum,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
DiagSum,<a href='https://oeis.org/A011782'>A011782</a>,[1 1 2 4 8 16 32 64 128 256 ]
Middle,<a href='https://oeis.org/?q=[1 1 2 4 8 19 36 91 170 446 ]'>nomatch</a>,[1 1 2 4 8 19 36 91 170 446 ]
Central,<a href='https://oeis.org/A330793'>A330793</a>,[1 2 8 36 170 826 4088 20496 103752 529100 ]
LeftSide,<a href='https://oeis.org/A274163'>A274163</a>,[1 1 1 2 3 5 8 13 21 34 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A330795'>A330795</a>,[1 3 9 39 153 615 2457 9831 39321 157287 ]
NegHalf,<a href='https://oeis.org/A006131'>A006131</a>,[1 -1 1 -5 9 -29 65 -181 441 -1165 ]
PolyVal2,<a href='https://oeis.org/A052906'>A052906</a>,[1 3 9 30 99 327 1080 3567 11781 38910 ]
PolyVal3,<a href='https://oeis.org/?q=[1 4 16 68 288 1220 5168 21892 92736 392836 ]'>nomatch</a>,[1 4 16 68 288 1220 5168 21892 92736 392836 ]
BinConv,<a href='https://oeis.org/?q=[1 2 6 24 100 426 1848 8120 36018 160940 ]'>nomatch</a>,[1 2 6 24 100 426 1848 8120 36018 160940 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 -2 2 4 -14 0 58 -78 -162 ]'>nomatch</a>,[1 0 -2 2 4 -14 0 58 -78 -162 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 6 25 92 313 1010 3137 9464 27905 ]'>nomatch</a>,[0 1 6 25 92 313 1010 3137 9464 27905 ]
TransNat0,<a href='https://oeis.org/A119915'>A119915</a>,[0 1 4 13 40 117 332 921 2512 6761 ]
TransNat1,<a href='https://oeis.org/A331321'>A331321</a>,[1 3 8 23 64 175 472 1259 3328 8731 ]
