Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A321622'>A321622</a>,[1 1 1 0 1 1 1 1 1 1 ]
Reverse,<a href='https://oeis.org/?q=[1 1 1 1 1 0 1 1 1 1 ]'>nomatch</a>,[1 1 1 1 1 0 1 1 1 1 ]
Inverse,<a href='https://oeis.org/?q=[1 -1 1 1 -1 1 -1 0 -1 1 ]'>nomatch</a>,[1 -1 1 1 -1 1 -1 0 -1 1 ]
RevInv,<a href='https://oeis.org/?q=[1 1 -1 1 -1 1 1 -1 0 -1 ]'>nomatch</a>,[1 1 -1 1 -1 1 1 -1 0 -1 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 0 1 1 1 2 1 1 6 ]'>nomatch</a>,[1 1 0 1 1 1 2 1 1 6 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 0 2 1 1 2 3 1 ]'>nomatch</a>,[1 1 1 0 2 1 1 2 3 1 ]
Sum,<a href='https://oeis.org/A002420'>A002420</a>,[1 2 2 4 10 28 84 264 858 2860 ]
EvenSum,<a href='https://oeis.org/A115140'>A115140</a>,[1 1 1 2 5 14 42 132 429 1430 ]
OddSum,<a href='https://oeis.org/A000108'>A000108</a>,[0 1 1 2 5 14 42 132 429 1430 ]
AltSum,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
DiagSum,<a href='https://oeis.org/?q=[1 1 1 2 4 11 31 96 306 1010 ]'>nomatch</a>,[1 1 1 2 4 11 31 96 306 1010 ]
Middle,<a href='https://oeis.org/?q=[1 1 1 1 2 7 10 29 40 136 ]'>nomatch</a>,[1 1 1 1 2 7 10 29 40 136 ]
Central,<a href='https://oeis.org/?q=[1 1 2 10 40 181 812 3732 17280 80740 ]'>nomatch</a>,[1 1 2 10 40 181 812 3732 17280 80740 ]
LeftSide,<a href='https://oeis.org/A064310'>A064310</a>,[1 1 0 1 2 6 18 57 186 622 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/?q=[1 3 3 15 75 423 2547 16047 104475 697335 ]'>nomatch</a>,[1 3 3 15 75 423 2547 16047 104475 697335 ]
NegHalf,<a href='https://oeis.org/?q=[1 -1 -1 -5 7 -77 399 -2661 17175 -115517 ]'>nomatch</a>,[1 -1 -1 -5 7 -77 399 -2661 17175 -115517 ]
PolyVal2,<a href='https://oeis.org/?q=[1 3 6 15 42 126 396 1287 4290 14586 ]'>nomatch</a>,[1 3 6 15 42 126 396 1287 4290 14586 ]
PolyVal3,<a href='https://oeis.org/A100320'>A100320</a>,[1 4 12 40 140 504 1848 6864 25740 97240 ]
BinConv,<a href='https://oeis.org/?q=[1 2 3 8 35 162 756 3600 17451 85670 ]'>nomatch</a>,[1 2 3 8 35 162 756 3600 17451 85670 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 -1 0 -5 0 -28 0 -165 0 ]'>nomatch</a>,[1 0 -1 0 -5 0 -28 0 -165 0 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 5 14 37 106 322 1020 3333 11154 ]'>nomatch</a>,[0 1 5 14 37 106 322 1020 3333 11154 ]
TransNat0,<a href='https://oeis.org/?q=[0 1 3 6 15 42 126 396 1287 4290 ]'>nomatch</a>,[0 1 3 6 15 42 126 396 1287 4290 ]
TransNat1,<a href='https://oeis.org/?q=[1 3 5 10 25 70 210 660 2145 7150 ]'>nomatch</a>,[1 3 5 10 25 70 210 660 2145 7150 ]
