Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A066325'>A066325</a>,[1 0 1 1 0 1 0 3 0 1 ]
Reverse,<a href='https://oeis.org/A073278'>A073278</a>,[1 1 0 1 0 1 1 0 3 0 ]
Inverse,<a href='https://oeis.org/A066325'>A066325</a>,[1 0 1 -1 0 1 0 -3 0 1 ]
RevInv,<a href='https://oeis.org/A073278'>A073278</a>,[1 1 0 1 0 -1 1 0 -3 0 ]
DiagTri,<a href='https://oeis.org/?q=[1 0 1 1 0 0 3 3 1 0 ]'>nomatch</a>,[1 0 1 1 0 0 3 3 1 0 ]
PolyTri,<a href='https://oeis.org/?q=[1 0 1 1 1 1 0 2 2 1 ]'>nomatch</a>,[1 0 1 1 1 1 0 2 2 1 ]
Sum,<a href='https://oeis.org/A000085'>A000085</a>,[1 1 2 4 10 26 76 232 764 2620 ]
EvenSum,<a href='https://oeis.org/?q=[1 0 2 0 10 0 76 0 764 0 ]'>nomatch</a>,[1 0 2 0 10 0 76 0 764 0 ]
OddSum,<a href='https://oeis.org/?q=[0 1 0 4 0 26 0 232 0 2620 ]'>nomatch</a>,[0 1 0 4 0 26 0 232 0 2620 ]
AltSum,<a href='https://oeis.org/A000085'>A000085</a>,[1 -1 2 -4 10 -26 76 -232 764 -2620 ]
DiagSum,<a href='https://oeis.org/?q=[1 0 2 0 7 0 37 0 266 0 ]'>nomatch</a>,[1 0 2 0 7 0 37 0 266 0 ]
Middle,<a href='https://oeis.org/?q=[1 0 0 3 6 0 0 105 210 0 ]'>nomatch</a>,[1 0 0 3 6 0 0 105 210 0 ]
Central,<a href='https://oeis.org/?q=[1 0 6 0 210 0 13860 0 1351350 0 ]'>nomatch</a>,[1 0 6 0 210 0 13860 0 1351350 0 ]
LeftSide,<a href='https://oeis.org/A123023'>A123023</a>,[1 0 1 0 3 0 15 0 105 0 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A115329'>A115329</a>,[1 1 5 13 73 281 1741 8485 57233 328753 ]
NegHalf,<a href='https://oeis.org/A115329'>A115329</a>,[1 1 5 13 73 281 1741 8485 57233 328753 ]
PolyVal2,<a href='https://oeis.org/A005425'>A005425</a>,[1 2 5 14 43 142 499 1850 7193 29186 ]
PolyVal3,<a href='https://oeis.org/A202834'>A202834</a>,[1 3 10 36 138 558 2364 10440 47868 227124 ]
BinConv,<a href='https://oeis.org/?q=[1 1 2 10 40 176 916 4852 27350 163270 ]'>nomatch</a>,[1 1 2 10 40 176 916 4852 27350 163270 ]
IBinConv,<a href='https://oeis.org/?q=[1 1 2 10 40 176 916 4852 27350 163270 ]'>nomatch</a>,[1 1 2 10 40 176 916 4852 27350 163270 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 4 12 40 130 456 1624 6112 23580 ]'>nomatch</a>,[0 1 4 12 40 130 456 1624 6112 23580 ]
TransNat0,<a href='https://oeis.org/A013989'>A013989</a>,[0 1 2 6 16 50 156 532 1856 6876 ]
TransNat1,<a href='https://oeis.org/A000085'>A000085</a>,[1 2 4 10 26 76 232 764 2620 9496 ]
