Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A021009'>A021009</a>,[1 1 1 2 4 1 6 18 9 1 ]
Reverse,<a href='https://oeis.org/A021010'>A021010</a>,[1 1 1 1 4 2 1 9 18 6 ]
Inverse,<a href='https://oeis.org/A021009'>A021009</a>,[1 -1 1 2 -4 1 -6 18 -9 1 ]
RevInv,<a href='https://oeis.org/A021010'>A021010</a>,[1 1 -1 1 -4 2 1 -9 18 -6 ]
DiagTri,<a href='https://oeis.org/A084950'>A084950</a>,[1 1 2 1 6 4 24 18 1 120 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 2 2 1 6 7 3 1 ]'>nomatch</a>,[1 1 1 2 2 1 6 7 3 1 ]
Sum,<a href='https://oeis.org/A002720'>A002720</a>,[1 2 7 34 209 1546 13327 130922 1441729 17572114 ]
EvenSum,<a href='https://oeis.org/A331325'>A331325</a>,[1 1 3 15 97 745 6571 65359 723969 8842257 ]
OddSum,<a href='https://oeis.org/A331326'>A331326</a>,[0 1 4 19 112 801 6756 65563 717760 8729857 ]
AltSum,<a href='https://oeis.org/A009940'>A009940</a>,[1 0 -1 -4 -15 -56 -185 -204 6209 112400 ]
DiagSum,<a href='https://oeis.org/A001040'>A001040</a>,[1 1 3 10 43 225 1393 9976 81201 740785 ]
Middle,<a href='https://oeis.org/?q=[1 1 4 18 72 600 2400 29400 117600 1905120 ]'>nomatch</a>,[1 1 4 18 72 600 2400 29400 117600 1905120 ]
Central,<a href='https://oeis.org/A295383'>A295383</a>,[1 4 72 2400 117600 7620480 614718720 59364264960 6678479808000 857813628672000 ]
LeftSide,<a href='https://oeis.org/A000142'>A000142</a>,[1 1 2 6 24 120 720 5040 40320 362880 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A025167'>A025167</a>,[1 3 17 139 1473 19091 291793 5129307 101817089 2250495523 ]
NegHalf,<a href='https://oeis.org/A025166'>A025166</a>,[1 -1 1 7 -127 1711 -23231 334391 -5144063 84149983 ]
PolyVal2,<a href='https://oeis.org/A087912'>A087912</a>,[1 3 14 86 648 5752 58576 671568 8546432 119401856 ]
PolyVal3,<a href='https://oeis.org/A277382'>A277382</a>,[1 4 23 168 1473 14988 173007 2228544 31636449 490102164 ]
BinConv,<a href='https://oeis.org/A216831'>A216831</a>,[1 2 11 88 905 11246 162607 2668436 48830273 983353690 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 -5 22 9 -1244 14335 -79470 -586943 25131304 ]'>nomatch</a>,[1 0 -5 22 9 -1244 14335 -79470 -586943 25131304 ]
TransSqrs,<a href='https://oeis.org/A105219'>A105219</a>,[0 1 8 63 544 5225 55656 653023 8379008 116780049 ]
TransNat0,<a href='https://oeis.org/A103194'>A103194</a>,[0 1 6 39 292 2505 24306 263431 3154824 41368977 ]
TransNat1,<a href='https://oeis.org/A000262'>A000262</a>,[1 3 13 73 501 4051 37633 394353 4596553 58941091 ]
