Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A111596'>A111596</a>,[1 0 1 0 2 1 0 6 6 1 ]
Reverse,<a href='https://oeis.org/?q=[1 1 0 1 2 0 1 6 6 0 ]'>nomatch</a>,[1 1 0 1 2 0 1 6 6 0 ]
Inverse,<a href='https://oeis.org/A111596'>A111596</a>,[1 0 1 0 -2 1 0 6 -6 1 ]
RevInv,<a href='https://oeis.org/?q=[1 1 0 1 -2 0 1 -6 6 0 ]'>nomatch</a>,[1 1 0 1 -2 0 1 -6 6 0 ]
DiagTri,<a href='https://oeis.org/A330609'>A330609</a>,[1 0 0 1 0 2 0 6 1 0 ]
PolyTri,<a href='https://oeis.org/A253286'>A253286</a>,[1 0 1 0 1 1 0 3 2 1 ]
Sum,<a href='https://oeis.org/A000262'>A000262</a>,[1 1 3 13 73 501 4051 37633 394353 4596553 ]
EvenSum,<a href='https://oeis.org/A088312'>A088312</a>,[1 0 1 6 37 260 2101 19362 201097 2326536 ]
OddSum,<a href='https://oeis.org/A088313'>A088313</a>,[0 1 2 7 36 241 1950 18271 193256 2270017 ]
AltSum,<a href='https://oeis.org/A111884'>A111884</a>,[1 -1 -1 -1 1 19 151 1091 7841 56519 ]
DiagSum,<a href='https://oeis.org/A001053'>A001053</a>,[1 0 1 2 7 30 157 972 6961 56660 ]
Middle,<a href='https://oeis.org/?q=[1 0 2 6 36 240 1200 12600 58800 846720 ]'>nomatch</a>,[1 0 2 6 36 240 1200 12600 58800 846720 ]
Central,<a href='https://oeis.org/A187535'>A187535</a>,[1 2 36 1200 58800 3810240 307359360 29682132480 3339239904000 428906814336000 ]
LeftSide,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A025168'>A025168</a>,[1 1 5 37 361 4361 62701 1044205 19748177 417787921 ]
NegHalf,<a href='https://oeis.org/A318223'>A318223</a>,[1 1 -3 13 -71 441 -2699 9157 206193 -8443151 ]
PolyVal2,<a href='https://oeis.org/A052897'>A052897</a>,[1 2 8 44 304 2512 24064 261536 3173888 42483968 ]
PolyVal3,<a href='https://oeis.org/A255806'>A255806</a>,[1 3 15 99 801 7623 83079 1017495 13808097 205374123 ]
BinConv,<a href='https://oeis.org/?q=[1 1 5 37 361 4301 60001 954325 16984577 333572041 ]'>nomatch</a>,[1 1 5 37 361 4301 60001 954325 16984577 333572041 ]
IBinConv,<a href='https://oeis.org/?q=[1 1 -3 1 73 -699 3001 24697 -783999 10946233 ]'>nomatch</a>,[1 1 -3 1 73 -699 3001 24697 -783999 10946233 ]
TransSqrs,<a href='https://oeis.org/A103194'>A103194</a>,[0 1 6 39 292 2505 24306 263431 3154824 41368977 ]
TransNat0,<a href='https://oeis.org/A052852'>A052852</a>,[0 1 4 21 136 1045 9276 93289 1047376 12975561 ]
TransNat1,<a href='https://oeis.org/A002720'>A002720</a>,[1 2 7 34 209 1546 13327 130922 1441729 17572114 ]
