ANumber,Triangle,Type,Trait,Sequence
A064189,Motzkin,Std,Triangle,[1 1 1 2 2 1 4 5 3 1 ]
A026300,Motzkin,Std,Reverse,[1 1 1 1 2 2 1 3 5 4 ]
A101950,Motzkin,Std,Inverse,[1 -1 1 0 -2 1 1 1 -3 1 ]
nothing,Motzkin,Std,RevInv,[1 1 -1 1 -2 0 1 -3 1 1 ]
A106489,Motzkin,Std,DiagTri,[1 1 2 1 4 2 9 5 1 21 ]
A330792,Motzkin,Std,PolyTri,[1 1 1 2 2 1 4 5 3 1 ]
A005773,Motzkin,Std,Sum,[1 2 5 13 35 96 267 750 2123 6046 ]
A002426,Motzkin,Std,EvenSum,[1 1 3 7 19 51 141 393 1107 3139 ]
A005717,Motzkin,Std,OddSum,[0 1 2 6 16 45 126 357 1016 2907 ]
A005043,Motzkin,Std,AltSum,[1 0 1 1 3 6 15 36 91 232 ]
A342912,Motzkin,Std,DiagSum,[1 1 3 6 15 36 91 232 603 1585 ]
nothing,Motzkin,Std,Middle,[1 1 2 5 9 25 44 133 230 726 ]
A026302,Motzkin,Std,Central,[1 2 9 44 230 1242 6853 38376 217242 1239980 ]
A001006,Motzkin,Std,LeftSide,[1 1 2 4 9 21 51 127 323 835 ]
A000012,Motzkin,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A330799,Motzkin,Std,PosHalf,[1 3 13 59 285 1419 7245 37659 198589 1059371 ]
A330800,Motzkin,Std,NegHalf,[1 -1 5 -17 77 -345 1653 -8097 40733 -208553 ]
A059738,Motzkin,Std,PolyVal2,[1 3 10 34 117 405 1407 4899 17083 59629 ]
nothing,Motzkin,Std,PolyVal3,[1 4 17 73 315 1362 5895 25528 110579 479068 ]
nothing,Motzkin,Std,BinConv,[1 2 7 29 128 587 2759 13190 63844 311948 ]
nothing,Motzkin,Std,IBinConv,[1 0 -1 3 0 -5 15 0 -28 84 ]
nothing,Motzkin,Std,TransSqrs,[0 1 6 26 100 361 1254 4245 14108 46247 ]
A330796,Motzkin,Std,TransNat0,[0 1 4 14 46 147 462 1437 4438 13637 ]
A000244,Motzkin,Std,TransNat1,[1 3 9 27 81 243 729 2187 6561 19683 ]
