Trait,ANumber,Sequence
Triangle,A090181,[1 0 1 0 1 1 0 1 3 1 ]
Reverse,A131198,[1 1 0 1 1 0 1 3 1 0 ]
Inverse,nothing,[1 0 1 0 -1 1 0 2 -3 1 ]
RevInv,nothing,[1 1 0 1 -1 0 1 -3 2 0 ]
DiagTri,nothing,[1 0 0 1 0 1 0 1 1 0 ]
PolyTri,nothing,[1 0 1 0 1 1 0 2 2 1 ]
Sum,A000108,[1 1 2 5 14 42 132 429 1430 4862 ]
EvenSum,A071688,[1 0 1 3 7 20 66 217 715 2424 ]
OddSum,A071684,[0 1 1 2 7 22 66 212 715 2438 ]
AltSum,A090192,[1 -1 0 1 0 -2 0 5 0 -14 ]
DiagSum,nothing,[1 0 1 1 2 4 8 17 37 82 ]
Middle,nothing,[1 0 1 1 6 10 50 105 490 1176 ]
Central,A125558,[1 1 6 50 490 5292 60984 736164 9202050 118195220 ]
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A001003,[1 1 3 11 45 197 903 4279 20793 103049 ]
NegHalf,A154825,[1 1 -1 -1 5 -3 -21 51 41 -391 ]
PolyVal2,A006318,[1 2 6 22 90 394 1806 8558 41586 206098 ]
PolyVal3,A047891,[1 3 12 57 300 1686 9912 60213 374988 2381322 ]
BinConv,nothing,[1 1 3 13 65 356 2072 12601 79221 511174 ]
IBinConv,nothing,[1 1 -1 -5 9 56 -120 -825 1925 14014 ]
TransSqrs,A141222,[0 1 5 22 95 406 1722 7260 30459 127270 ]
TransNat0,A001700,[0 1 3 10 35 126 462 1716 6435 24310 ]
TransNat1,A189176,[1 2 5 15 49 168 594 2145 7865 29172 ]
