Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A008290'>A008290</a>,[1 0 1 1 0 1 2 3 0 1 ]
Reverse,<a href='https://oeis.org/A098825'>A098825</a>,[1 1 0 1 0 1 1 0 3 2 ]
Inverse,<a href='https://oeis.org/A055137'>A055137</a>,[1 0 1 -1 0 1 -2 -3 0 1 ]
RevInv,<a href='https://oeis.org/?q=[1 1 0 1 0 -1 1 0 -3 -2 ]'>nomatch</a>,[1 1 0 1 0 -1 1 0 -3 -2 ]
DiagTri,<a href='https://oeis.org/?q=[1 0 1 1 2 0 9 3 1 44 ]'>nomatch</a>,[1 0 1 1 2 0 9 3 1 44 ]
PolyTri,<a href='https://oeis.org/?q=[1 0 1 1 1 1 2 2 2 1 ]'>nomatch</a>,[1 0 1 1 1 1 2 2 2 1 ]
Sum,<a href='https://oeis.org/A000142'>A000142</a>,[1 1 2 6 24 120 720 5040 40320 362880 ]
EvenSum,<a href='https://oeis.org/A062282'>A062282</a>,[1 0 2 2 16 64 416 2848 22912 205952 ]
OddSum,<a href='https://oeis.org/A063083'>A063083</a>,[0 1 0 4 8 56 304 2192 17408 156928 ]
AltSum,<a href='https://oeis.org/A000023'>A000023</a>,[1 -1 2 -2 8 8 112 656 5504 49024 ]
DiagSum,<a href='https://oeis.org/?q=[1 0 2 2 13 52 317 2138 16834 149292 ]'>nomatch</a>,[1 0 2 2 13 52 317 2138 16834 149292 ]
Middle,<a href='https://oeis.org/?q=[1 0 0 3 6 20 40 315 630 5544 ]'>nomatch</a>,[1 0 0 3 6 20 40 315 630 5544 ]
Central,<a href='https://oeis.org/A281262'>A281262</a>,[1 0 6 40 630 11088 244860 6362928 190900710 6490575520 ]
LeftSide,<a href='https://oeis.org/A000166'>A000166</a>,[1 0 1 2 9 44 265 1854 14833 133496 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A000354'>A000354</a>,[1 1 5 29 233 2329 27949 391285 6260561 112690097 ]
NegHalf,<a href='https://oeis.org/?q=[1 1 5 -3 105 -807 10413 -143595 2304081 -41453775 ]'>nomatch</a>,[1 1 5 -3 105 -807 10413 -143595 2304081 -41453775 ]
PolyVal2,<a href='https://oeis.org/A000522'>A000522</a>,[1 2 5 16 65 326 1957 13700 109601 986410 ]
PolyVal3,<a href='https://oeis.org/A010842'>A010842</a>,[1 3 10 38 168 872 5296 37200 297856 2681216 ]
BinConv,<a href='https://oeis.org/?q=[1 1 2 12 78 570 4900 48160 530390 6464430 ]'>nomatch</a>,[1 1 2 12 78 570 4900 48160 530390 6464430 ]
IBinConv,<a href='https://oeis.org/?q=[1 1 2 8 14 82 132 744 4566 -33442 ]'>nomatch</a>,[1 1 2 8 14 82 132 744 4566 -33442 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 4 12 48 240 1440 10080 80640 725760 ]'>nomatch</a>,[0 1 4 12 48 240 1440 10080 80640 725760 ]
TransNat0,<a href='https://oeis.org/A000142'>A000142</a>,[0 1 2 6 24 120 720 5040 40320 362880 ]
TransNat1,<a href='https://oeis.org/A098558'>A098558</a>,[1 2 4 12 48 240 1440 10080 80640 725760 ]
