Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A124320'>A124320</a>,[1 1 1 1 2 6 1 3 12 60 ]
Reverse,<a href='https://oeis.org/?q=[1 1 1 6 2 1 60 12 3 1 ]'>nomatch</a>,[1 1 1 6 2 1 60 12 3 1 ]
InvRev,<a href='https://oeis.org/?q=[1 -1 1 -4 -2 1 -36 -6 -3 1 ]'>nomatch</a>,[1 -1 1 -4 -2 1 -36 -6 -3 1 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 1 1 1 2 1 3 6 1 ]'>nomatch</a>,[1 1 1 1 1 2 1 3 6 1 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 1 2 1 1 9 3 1 ]'>nomatch</a>,[1 1 1 1 2 1 1 9 3 1 ]
Sum,<a href='https://oeis.org/A123680'>A123680</a>,[1 2 9 76 985 17046 366289 9374968 278095761 9375293170 ]
EvenSum,<a href='https://oeis.org/?q=[1 1 7 13 861 1711 335707 670377 260702713 521092531 ]'>nomatch</a>,[1 1 7 13 861 1711 335707 670377 260702713 521092531 ]
OddSum,<a href='https://oeis.org/?q=[0 1 2 63 124 15335 30582 8704591 17393048 8854200639 ]'>nomatch</a>,[0 1 2 63 124 15335 30582 8704591 17393048 8854200639 ]
AltSum,<a href='https://oeis.org/?q=[1 0 5 -50 737 -13624 305125 -8034214 243309665 -8333108108 ]'>nomatch</a>,[1 0 5 -50 737 -13624 305125 -8034214 243309665 -8333108108 ]
DiagSum,<a href='https://oeis.org/?q=[1 1 2 3 10 17 86 157 1100 2081 ]'>nomatch</a>,[1 1 2 3 10 17 86 157 1100 2081 ]
Middle,<a href='https://oeis.org/?q=[1 1 2 3 20 30 336 504 7920 11880 ]'>nomatch</a>,[1 1 2 3 20 30 336 504 7920 11880 ]
Central,<a href='https://oeis.org/?q=[1 2 20 336 7920 240240 8910720 390700800 19769460480 1133836704000 ]'>nomatch</a>,[1 2 20 336 7920 240240 8910720 390700800 19769460480 1133836704000 ]
LeftSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,<a href='https://oeis.org/A000407'>A000407</a>,[1 1 6 60 840 15120 332640 8648640 259459200 8821612800 ]
PosHalf,<a href='https://oeis.org/?q=[1 3 14 104 1208 19672 408832 10251712 299911808 10009405376 ]'>nomatch</a>,[1 3 14 104 1208 19672 408832 10251712 299911808 10009405376 ]
NegHalf,<a href='https://oeis.org/?q=[1 -1 6 40 664 12408 282112 7506112 229153920 7898352832 ]'>nomatch</a>,[1 -1 6 40 664 12408 282112 7506112 229153920 7898352832 ]
PolyVal2,<a href='https://oeis.org/?q=[1 3 29 535 14489 512531 22307893 1151462831 68717854385 4653803729899 ]'>nomatch</a>,[1 3 29 535 14489 512531 22307893 1151462831 68717854385 4653803729899 ]
PolyVal3,<a href='https://oeis.org/?q=[1 4 61 1738 71473 3816196 250097293 19413459094 1741065412993 177112972757008 ]'>nomatch</a>,[1 4 61 1738 71473 3816196 250097293 19413459094 1741065412993 177112972757008 ]
BinConv,<a href='https://oeis.org/A278070'>A278070</a>,[1 2 11 106 1457 25946 566827 14665106 438351041 14862109042 ]
IBinConv,<a href='https://oeis.org/A278069'>A278069</a>,[1 0 3 32 465 8544 190435 4996032 150869313 5155334720 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 26 591 14604 406895 12782622 449204847 17499943736 749432500119 ]'>nomatch</a>,[0 1 26 591 14604 406895 12782622 449204847 17499943736 749432500119 ]
TransNat0,<a href='https://oeis.org/?q=[0 1 14 207 3764 83015 2160234 64831151 2204676872 83786685039 ]'>nomatch</a>,[0 1 14 207 3764 83015 2160234 64831151 2204676872 83786685039 ]
TransNat1,<a href='https://oeis.org/?q=[1 3 23 283 4749 100061 2526523 74206119 2482772633 93161978209 ]'>nomatch</a>,[1 3 23 283 4749 100061 2526523 74206119 2482772633 93161978209 ]
