Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A122538'>A122538</a>,[1 0 1 0 2 1 0 6 4 1 ]
Reverse,<a href='https://oeis.org/?q=[1 1 0 1 2 0 1 4 6 0 ]'>nomatch</a>,[1 1 0 1 2 0 1 4 6 0 ]
Inverse,<a href='https://oeis.org/A122542'>A122542</a>,[1 0 1 0 -2 1 0 2 -4 1 ]
RevInv,<a href='https://oeis.org/A266213'>A266213</a>,[1 1 0 1 -2 0 1 -4 2 0 ]
DiagTri,<a href='https://oeis.org/?q=[1 0 0 1 0 2 0 6 1 0 ]'>nomatch</a>,[1 0 0 1 0 2 0 6 1 0 ]
PolyTri,<a href='https://oeis.org/?q=[1 0 1 0 1 1 0 3 2 1 ]'>nomatch</a>,[1 0 1 0 1 1 0 3 2 1 ]
Sum,<a href='https://oeis.org/A001003'>A001003</a>,[1 1 3 11 45 197 903 4279 20793 103049 ]
EvenSum,<a href='https://oeis.org/?q=[1 0 1 4 17 76 353 1688 8257 41128 ]'>nomatch</a>,[1 0 1 4 17 76 353 1688 8257 41128 ]
OddSum,<a href='https://oeis.org/A010683'>A010683</a>,[0 1 2 7 28 121 550 2591 12536 61921 ]
AltSum,<a href='https://oeis.org/A001003'>A001003</a>,[1 -1 -1 -3 -11 -45 -197 -903 -4279 -20793 ]
DiagSum,<a href='https://oeis.org/?q=[1 0 1 2 7 26 107 468 2141 10124 ]'>nomatch</a>,[1 0 1 2 7 26 107 468 2141 10124 ]
Middle,<a href='https://oeis.org/?q=[1 0 2 6 16 68 146 714 1408 7432 ]'>nomatch</a>,[1 0 2 6 16 68 146 714 1408 7432 ]
Central,<a href='https://oeis.org/A103885'>A103885</a>,[1 2 16 146 1408 14002 142000 1459810 15158272 158611106 ]
LeftSide,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A330802'>A330802</a>,[1 1 5 33 253 2121 18853 174609 1667021 16290969 ]
NegHalf,<a href='https://oeis.org/A330803'>A330803</a>,[1 1 -3 17 -123 1001 -8739 79969 -756939 7349657 ]
PolyVal2,<a href='https://oeis.org/A109980'>A109980</a>,[1 2 8 36 172 852 4324 22332 116876 618084 ]
PolyVal3,<a href='https://oeis.org/?q=[1 3 15 81 453 2583 14907 86733 507561 2982987 ]'>nomatch</a>,[1 3 15 81 453 2583 14907 86733 507561 2982987 ]
BinConv,<a href='https://oeis.org/A178792'>A178792</a>,[1 1 5 31 209 1471 10625 78079 580865 4361215 ]
IBinConv,<a href='https://oeis.org/A255047'>A255047</a>,[1 1 -3 7 -15 31 -63 127 -255 511 ]
TransSqrs,<a href='https://oeis.org/A065096'>A065096</a>,[0 1 6 31 156 785 3978 20335 104856 545073 ]
TransNat0,<a href='https://oeis.org/A239204'>A239204</a>,[0 1 4 17 76 353 1688 8257 41128 207905 ]
TransNat1,<a href='https://oeis.org/A010683'>A010683</a>,[1 2 7 28 121 550 2591 12536 61921 310954 ]
