Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A172094'>A172094</a>,[1 1 1 3 4 1 11 17 7 1 ]
Reverse,<a href='https://oeis.org/?q=[1 1 1 1 4 3 1 7 17 11 ]'>nomatch</a>,[1 1 1 1 4 3 1 7 17 11 ]
Inverse,<a href='https://oeis.org/A331969'>A331969</a>,[1 -1 1 1 -4 1 -1 11 -7 1 ]
RevInv,<a href='https://oeis.org/?q=[1 1 -1 1 -4 1 1 -7 11 -1 ]'>nomatch</a>,[1 1 -1 1 -4 1 1 -7 11 -1 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 3 1 11 4 45 17 1 197 ]'>nomatch</a>,[1 1 3 1 11 4 45 17 1 197 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 3 2 1 11 8 3 1 ]'>nomatch</a>,[1 1 1 3 2 1 11 8 3 1 ]
Sum,<a href='https://oeis.org/A109980'>A109980</a>,[1 2 8 36 172 852 4324 22332 116876 618084 ]
EvenSum,<a href='https://oeis.org/A225887'>A225887</a>,[1 1 4 18 86 426 2162 11166 58438 309042 ]
OddSum,<a href='https://oeis.org/A225887'>A225887</a>,[0 1 4 18 86 426 2162 11166 58438 309042 ]
AltSum,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
DiagSum,<a href='https://oeis.org/?q=[1 1 4 15 63 280 1297 6193 30268 150687 ]'>nomatch</a>,[1 1 4 15 63 280 1297 6193 30268 150687 ]
Middle,<a href='https://oeis.org/?q=[1 1 4 17 40 216 458 2745 5558 35318 ]'>nomatch</a>,[1 1 4 17 40 216 458 2745 5558 35318 ]
Central,<a href='https://oeis.org/?q=[1 4 40 458 5558 69660 891154 11563214 151605142 2003523032 ]'>nomatch</a>,[1 4 40 458 5558 69660 891154 11563214 151605142 2003523032 ]
LeftSide,<a href='https://oeis.org/A001003'>A001003</a>,[1 1 3 11 45 197 903 4279 20793 103049 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/A331328'>A331328</a>,[1 3 21 171 1509 13995 134277 1320651 13237221 134682219 ]
NegHalf,<a href='https://oeis.org/A330802'>A330802</a>,[1 -1 5 -33 253 -2121 18853 -174609 1667021 -16290969 ]
PolyVal2,<a href='https://oeis.org/?q=[1 3 15 81 453 2583 14907 86733 507561 2982987 ]'>nomatch</a>,[1 3 15 81 453 2583 14907 86733 507561 2982987 ]
PolyVal3,<a href='https://oeis.org/?q=[1 4 24 152 984 6440 42408 280312 1857336 12326792 ]'>nomatch</a>,[1 4 24 152 984 6440 42408 280312 1857336 12326792 ]
BinConv,<a href='https://oeis.org/?q=[1 2 12 84 630 4908 39158 317544 2605590 21571500 ]'>nomatch</a>,[1 2 12 84 630 4908 39158 317544 2605590 21571500 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 -4 20 -58 64 390 -2948 10934 -20320 ]'>nomatch</a>,[1 0 -4 20 -58 64 390 -2948 10934 -20320 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 8 54 342 2098 12634 75190 443934 2606330 ]'>nomatch</a>,[0 1 8 54 342 2098 12634 75190 443934 2606330 ]
TransNat0,<a href='https://oeis.org/?q=[0 1 6 34 190 1058 5890 32822 183158 1023658 ]'>nomatch</a>,[0 1 6 34 190 1058 5890 32822 183158 1023658 ]
TransNat1,<a href='https://oeis.org/?q=[1 3 14 70 362 1910 10214 55154 300034 1641742 ]'>nomatch</a>,[1 3 14 70 362 1910 10214 55154 300034 1641742 ]
