ANumber,Triangle,Type,Trait,Sequence
A048993,StirlingSet,Std,Triangle,[1 0 1 0 1 1 0 1 3 1 ]
A106800,StirlingSet,Std,Reverse,[1 1 0 1 1 0 1 3 1 0 ]
A048994,StirlingSet,Std,Inverse,[1 0 1 0 -1 1 0 2 -3 1 ]
A054654,StirlingSet,Std,RevInv,[1 1 0 1 -1 0 1 -3 2 0 ]
nothing,StirlingSet,Std,DiagTri,[1 0 0 1 0 1 0 1 1 0 ]
A189233,StirlingSet,Std,PolyTri,[1 0 1 0 1 1 0 2 2 1 ]
A000110,StirlingSet,Std,Sum,[1 1 2 5 15 52 203 877 4140 21147 ]
A024430,StirlingSet,Std,EvenSum,[1 0 1 3 8 25 97 434 2095 10707 ]
A024429,StirlingSet,Std,OddSum,[0 1 1 2 7 27 106 443 2045 10440 ]
A000587,StirlingSet,Std,AltSum,[1 -1 0 1 1 -2 -9 -9 50 267 ]
A171367,StirlingSet,Std,DiagSum,[1 0 1 1 2 4 9 22 58 164 ]
nothing,StirlingSet,Std,Middle,[1 0 1 1 7 15 90 301 1701 7770 ]
A007820,StirlingSet,Std,Central,[1 1 7 90 1701 42525 1323652 49329280 2141764053 106175395755 ]
A000007,StirlingSet,Std,LeftSide,[1 0 0 0 0 0 0 0 0 0 ]
A000012,StirlingSet,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A004211,StirlingSet,Std,PosHalf,[1 1 3 11 49 257 1539 10299 75905 609441 ]
A009235,StirlingSet,Std,NegHalf,[1 1 -1 -1 9 -23 -25 583 -3087 4401 ]
A001861,StirlingSet,Std,PolyVal2,[1 2 6 22 94 454 2430 14214 89918 610182 ]
A027710,StirlingSet,Std,PolyVal3,[1 3 12 57 309 1866 12351 88563 681870 5597643 ]
A122455,StirlingSet,Std,BinConv,[1 1 3 13 71 456 3337 27203 243203 2357356 ]
nothing,StirlingSet,Std,IBinConv,[1 1 -1 -5 15 56 -455 -237 16947 -64220 ]
A033452,StirlingSet,Std,TransSqrs,[0 1 5 22 99 471 2386 12867 73681 446620 ]
A005493,StirlingSet,Std,TransNat0,[0 1 3 10 37 151 674 3263 17007 94828 ]
A000110,StirlingSet,Std,TransNat1,[1 2 5 15 52 203 877 4140 21147 115975 ]
