Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A109956'>A109956</a>,[1 1 1 3 4 1 12 18 7 1 ]
Reverse,<a href='https://oeis.org/?q=[1 1 1 1 4 3 1 7 18 12 ]'>nomatch</a>,[1 1 1 1 4 3 1 7 18 12 ]
Inverse,<a href='https://oeis.org/A109955'>A109955</a>,[1 -1 1 1 -4 1 -1 10 -7 1 ]
RevInv,<a href='https://oeis.org/A193636'>A193636</a>,[1 1 -1 1 -4 1 1 -7 10 -1 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 3 1 12 4 55 18 1 273 ]'>nomatch</a>,[1 1 3 1 12 4 55 18 1 273 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 3 2 1 12 8 3 1 ]'>nomatch</a>,[1 1 1 3 2 1 12 8 3 1 ]
Sum,<a href='https://oeis.org/A047098'>A047098</a>,[1 2 8 38 196 1062 5948 34120 199316 1181126 ]
EvenSum,<a href='https://oeis.org/A047099'>A047099</a>,[1 1 4 19 98 531 2974 17060 99658 590563 ]
OddSum,<a href='https://oeis.org/A047099'>A047099</a>,[0 1 4 19 98 531 2974 17060 99658 590563 ]
AltSum,<a href='https://oeis.org/A000007'>A000007</a>,[1 0 0 0 0 0 0 0 0 0 ]
DiagSum,<a href='https://oeis.org/A109957'>A109957</a>,[1 1 4 16 74 368 1926 10455 58333 332489 ]
Middle,<a href='https://oeis.org/?q=[1 1 4 18 42 245 510 3325 6578 45630 ]'>nomatch</a>,[1 1 4 18 42 245 510 3325 6578 45630 ]
Central,<a href='https://oeis.org/?q=[1 4 42 510 6578 87696 1193808 16486756 230090850 3237004680 ]'>nomatch</a>,[1 4 42 510 6578 87696 1193808 16486756 230090850 3237004680 ]
LeftSide,<a href='https://oeis.org/A001764'>A001764</a>,[1 1 3 12 55 273 1428 7752 43263 246675 ]
RightSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,<a href='https://oeis.org/?q=[1 3 21 183 1773 18303 197157 2189799 24891741 288132303 ]'>nomatch</a>,[1 3 21 183 1773 18303 197157 2189799 24891741 288132303 ]
NegHalf,<a href='https://oeis.org/?q=[1 -1 5 -37 325 -3141 32261 -345605 3818501 -43197445 ]'>nomatch</a>,[1 -1 5 -37 325 -3141 32261 -345605 3818501 -43197445 ]
PolyVal2,<a href='https://oeis.org/A005809'>A005809</a>,[1 3 15 84 495 3003 18564 116280 735471 4686825 ]
PolyVal3,<a href='https://oeis.org/?q=[1 4 24 156 1048 7164 49488 344208 2405496 16868604 ]'>nomatch</a>,[1 4 24 156 1048 7164 49488 344208 2405496 16868604 ]
BinConv,<a href='https://oeis.org/?q=[1 2 12 88 700 5814 49588 430560 3786588 33622600 ]'>nomatch</a>,[1 2 12 88 700 5814 49588 430560 3786588 33622600 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 -4 22 -84 238 -380 -828 10556 -56144 ]'>nomatch</a>,[1 0 -4 22 -84 238 -380 -828 10556 -56144 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 8 55 362 2343 15058 96500 617930 3957847 ]'>nomatch</a>,[0 1 8 55 362 2343 15058 96500 617930 3957847 ]
TransNat0,<a href='https://oeis.org/?q=[0 1 6 35 206 1227 7388 44900 275046 1696331 ]'>nomatch</a>,[0 1 6 35 206 1227 7388 44900 275046 1696331 ]
TransNat1,<a href='https://oeis.org/?q=[1 3 14 73 402 2289 13336 79020 474362 2877457 ]'>nomatch</a>,[1 3 14 73 402 2289 13336 79020 474362 2877457 ]
