Trait,ANumber,Sequence
Triangle,<a href='https://oeis.org/A111808'>A111808</a>,[1 1 1 1 2 3 1 3 6 7 ]
Reverse,<a href='https://oeis.org/A094531'>A094531</a>,[1 1 1 3 2 1 7 6 3 1 ]
InvRev,<a href='https://oeis.org/A102587'>A102587</a>,[1 -1 1 -1 -2 1 2 0 -3 1 ]
DiagTri,<a href='https://oeis.org/?q=[1 1 1 1 1 2 1 3 3 1 ]'>nomatch</a>,[1 1 1 1 1 2 1 3 3 1 ]
PolyTri,<a href='https://oeis.org/?q=[1 1 1 1 2 1 1 6 3 1 ]'>nomatch</a>,[1 1 1 1 2 1 1 6 3 1 ]
Sum,<a href='https://oeis.org/A027914'>A027914</a>,[1 2 6 17 50 147 435 1290 3834 11411 ]
EvenSum,<a href='https://oeis.org/?q=[1 1 4 7 30 61 253 547 2194 4921 ]'>nomatch</a>,[1 1 4 7 30 61 253 547 2194 4921 ]
OddSum,<a href='https://oeis.org/?q=[0 1 2 10 20 86 182 743 1640 6490 ]'>nomatch</a>,[0 1 2 10 20 86 182 743 1640 6490 ]
AltSum,<a href='https://oeis.org/A246437'>A246437</a>,[1 0 2 -3 10 -25 71 -196 554 -1569 ]
DiagSum,<a href='https://oeis.org/?q=[1 1 2 3 7 11 23 38 78 132 ]'>nomatch</a>,[1 1 2 3 7 11 23 38 78 132 ]
Middle,<a href='https://oeis.org/A027913'>A027913</a>,[1 1 2 3 10 15 50 77 266 414 ]
Central,<a href='https://oeis.org/A027908'>A027908</a>,[1 2 10 50 266 1452 8074 45474 258570 1481108 ]
LeftSide,<a href='https://oeis.org/A000012'>A000012</a>,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,<a href='https://oeis.org/A002426'>A002426</a>,[1 1 3 7 19 51 141 393 1107 3139 ]
PosHalf,<a href='https://oeis.org/?q=[1 3 11 39 139 493 1745 6163 21731 76521 ]'>nomatch</a>,[1 3 11 39 139 493 1745 6163 21731 76521 ]
NegHalf,<a href='https://oeis.org/?q=[1 -1 3 -1 11 9 57 111 387 989 ]'>nomatch</a>,[1 -1 3 -1 11 9 57 111 387 989 ]
PolyVal2,<a href='https://oeis.org/?q=[1 3 17 87 481 2663 14993 84983 485057 2782023 ]'>nomatch</a>,[1 3 17 87 481 2663 14993 84983 485057 2782023 ]
PolyVal3,<a href='https://oeis.org/?q=[1 4 34 253 2074 16999 142255 1199776 10203946 87281983 ]'>nomatch</a>,[1 4 34 253 2074 16999 142255 1199776 10203946 87281983 ]
BinConv,<a href='https://oeis.org/A082759'>A082759</a>,[1 2 8 35 160 752 3599 17446 85376 420884 ]
IBinConv,<a href='https://oeis.org/?q=[1 0 0 -3 0 0 15 0 0 -84 ]'>nomatch</a>,[1 0 0 -3 0 0 15 0 0 -84 ]
TransSqrs,<a href='https://oeis.org/?q=[0 1 14 90 492 2330 10206 42147 166872 639414 ]'>nomatch</a>,[0 1 14 90 492 2330 10206 42147 166872 639414 ]
TransNat0,<a href='https://oeis.org/?q=[0 1 8 36 148 560 2034 7161 24672 83592 ]'>nomatch</a>,[0 1 8 36 148 560 2034 7161 24672 83592 ]
TransNat1,<a href='https://oeis.org/?q=[1 3 14 53 198 707 2469 8451 28506 95003 ]'>nomatch</a>,[1 3 14 53 198 707 2469 8451 28506 95003 ]
