Trait,ANumber,Sequence
Triangle,A000012,[1 1 1 1 1 1 1 1 1 1 ]
Reverse,A000012,[1 1 1 1 1 1 1 1 1 1 ]
Inverse,A097806,[1 -1 1 0 -1 1 0 0 -1 1 ]
RevInv,A103451,[1 1 -1 1 -1 0 1 -1 0 0 ]
InvRev,A097806,[1 -1 1 0 -1 1 0 0 -1 1 ]
DiagTri,A000012,[1 1 1 1 1 1 1 1 1 1 ]
PolyTri,A104878,[1 1 1 1 2 1 1 3 3 1 ]
Sum,A000027,[1 2 3 4 5 6 7 8 9 10 ]
EvenSum,A008619,[1 1 2 2 3 3 4 4 5 5 ]
OddSum,A001057,[0 1 1 2 2 3 3 4 4 5 ]
AltSum,A014581,[1 0 1 0 1 0 1 0 1 0 ]
DiagSum,A008619,[1 1 2 2 3 3 4 4 5 5 ]
Middle,A000012,[1 1 1 1 1 1 1 1 1 1 ]
Central,nothing,[1 1 1 1 1 1 1 1 1 1 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A126646,[1 3 7 15 31 63 127 255 511 1023 ]
NegHalf,A077925,[1 -1 3 -5 11 -21 43 -85 171 -341 ]
PolyVal2,A126646,[1 3 7 15 31 63 127 255 511 1023 ]
PolyVal3,A003462,[1 4 13 40 121 364 1093 3280 9841 29524 ]
BinConv,A000079,[1 2 4 8 16 32 64 128 256 512 ]
IBinConv,A000007,[1 0 0 0 0 0 0 0 0 0 ]
TransSqrs,A000330,[0 1 5 14 30 55 91 140 204 285 ]
TransNat0,A000217,[0 1 3 6 10 15 21 28 36 45 ]
TransNat1,A025747,[1 3 6 10 15 21 28 36 45 55 ]
