Trait,ANumber,Sequence
Triangle,A028246,[1 1 1 1 3 2 1 7 12 6 ]
Reverse,A075263,[1 1 1 2 3 1 6 12 7 1 ]
InvRev,A106340,[1 -1 1 1 -3 1 -1 9 -7 1 ]
DiagTri,nothing,[1 1 1 1 1 3 1 7 2 1 ]
PolyTri,nothing,[1 1 1 1 2 1 1 6 3 1 ]
Sum,A000629,[1 2 6 26 150 1082 9366 94586 1091670 14174522 ]
EvenSum,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 ]
OddSum,A000670,[0 1 3 13 75 541 4683 47293 545835 7087261 ]
AltSum,A000007,[1 0 0 0 0 0 0 0 0 0 ]
DiagSum,A229046,[1 1 2 4 10 28 88 304 1144 4648 ]
Middle,nothing,[1 1 3 7 50 180 2100 10206 166824 1020600 ]
Central,A185157,[1 3 50 2100 166824 21538440 4115105280 1091804313600 384202115256960 173201547619900800 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000142,[1 1 2 6 24 120 720 5040 40320 362880 ]
PosHalf,A123227,[1 3 12 66 480 4368 47712 608016 8855040 145083648 ]
NegHalf,A009006,[1 -1 0 2 0 -16 0 272 0 -7936 ]
PolyVal2,A201339,[1 3 15 111 1095 13503 199815 3449631 68062695 1510769343 ]
PolyVal3,A201354,[1 4 28 292 4060 70564 1471708 35810212 995827420 31153998244 ]
BinConv,A000169,[1 2 9 64 625 7776 117649 2097152 43046721 1000000000 ]
IBinConv,nothing,[1 0 -3 -10 25 574 2653 -30234 -644079 -2438722 ]
TransSqrs,nothing,[0 1 11 109 1139 13021 164051 2273629 34497299 569871901 ]
TransNat0,nothing,[0 1 7 49 391 3601 37927 451249 5995591 88073041 ]
TransNat1,A000670,[1 3 13 75 541 4683 47293 545835 7087261 102247563 ]
