Trait,ANumber,Sequence
Triangle,A011971,[1 1 2 2 3 5 5 7 10 15 ]
Reverse,A123346,[1 2 1 5 3 2 15 10 7 5 ]
DiagTri,nothing,[1 1 2 2 5 3 15 7 5 52 ]
PolyTri,nothing,[1 1 1 2 3 1 5 10 5 1 ]
Sum,A005493,[1 3 10 37 151 674 3263 17007 94828 562595 ]
EvenSum,nothing,[1 1 7 15 94 290 1925 7541 54217 254189 ]
OddSum,nothing,[0 2 3 22 57 384 1338 9466 40611 308406 ]
AltSum,nothing,[1 -1 4 -7 37 -94 587 -1925 13606 -54217 ]
DiagSum,nothing,[1 1 4 8 27 82 312 1256 5708 28059 ]
Middle,A216078,[1 1 3 7 27 87 409 1657 9089 43833 ]
Central,A094577,[1 3 27 409 9089 272947 10515147 501178937 28773452321 1949230218691 ]
LeftSide,A000110,[1 1 2 5 15 52 203 877 4140 21147 ]
RightSide,A000110,[1 2 5 15 52 203 877 4140 21147 115975 ]
PosHalf,nothing,[1 4 19 103 634 4393 33893 288158 2674849 26888251 ]
NegHalf,nothing,[1 0 7 -17 166 -931 8333 -67902 668341 -6733957 ]
PolyVal2,A095676,[1 5 28 179 1291 10358 91337 876289 9070546 100596161 ]
PolyVal3,nothing,[1 7 56 521 5529 65674 860387 12290251 189680754 3139572183 ]
BinConv,A126390,[1 3 13 71 457 3355 27509 248127 2434129 25741939 ]
IBinConv,A000012,[1 1 1 1 1 1 1 1 1 1 ]
TransSqrs,nothing,[0 2 23 182 1293 8932 62014 439442 3202127 24081458 ]
TransNat0,nothing,[0 2 13 72 393 2202 12850 78488 502327 3366648 ]
TransNat1,A278677,[1 5 23 109 544 2876 16113 95495 597155 3929243 ]
