Trait,ANumber,Sequence
Triangle,A008290,[1 0 1 1 0 1 2 3 0 1 ]
Reverse,A098825,[1 1 0 1 0 1 1 0 3 2 ]
Inverse,A055137,[1 0 1 -1 0 1 -2 -3 0 1 ]
RevInv,nothing,[1 1 0 1 0 -1 1 0 -3 -2 ]
DiagTri,nothing,[1 0 1 1 2 0 9 3 1 44 ]
PolyTri,nothing,[1 0 1 1 1 1 2 2 2 1 ]
Sum,A000142,[1 1 2 6 24 120 720 5040 40320 362880 ]
EvenSum,A062282,[1 0 2 2 16 64 416 2848 22912 205952 ]
OddSum,A063083,[0 1 0 4 8 56 304 2192 17408 156928 ]
AltSum,A000023,[1 -1 2 -2 8 8 112 656 5504 49024 ]
DiagSum,nothing,[1 0 2 2 13 52 317 2138 16834 149292 ]
Middle,nothing,[1 0 0 3 6 20 40 315 630 5544 ]
Central,A281262,[1 0 6 40 630 11088 244860 6362928 190900710 6490575520 ]
LeftSide,A000166,[1 0 1 2 9 44 265 1854 14833 133496 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A000354,[1 1 5 29 233 2329 27949 391285 6260561 112690097 ]
NegHalf,nothing,[1 1 5 -3 105 -807 10413 -143595 2304081 -41453775 ]
PolyVal2,A000522,[1 2 5 16 65 326 1957 13700 109601 986410 ]
PolyVal3,A010842,[1 3 10 38 168 872 5296 37200 297856 2681216 ]
BinConv,nothing,[1 1 2 12 78 570 4900 48160 530390 6464430 ]
IBinConv,nothing,[1 1 2 8 14 82 132 744 4566 -33442 ]
TransSqrs,nothing,[0 1 4 12 48 240 1440 10080 80640 725760 ]
TransNat0,A000142,[0 1 2 6 24 120 720 5040 40320 362880 ]
TransNat1,A098558,[1 2 4 12 48 240 1440 10080 80640 725760 ]
