Trait,ANumber,Sequence
Triangle,A048994,[1 0 1 0 1 1 0 2 3 1 0 6 11 6 1 0 24 50 35 10 1 0 120 274 225 85 15 1 ]
Reverse,A054654,[1 1 0 1 1 0 1 3 2 0 1 6 11 6 0 1 10 35 50 24 0 1 15 85 225 274 120 0 ]
Inverse,A048993,[1 0 1 0 -1 1 0 1 -3 1 0 -1 7 -6 1 0 1 -15 25 -10 1 0 -1 31 -90 65 ]
RevInv,A106800,[1 1 0 1 -1 0 1 -3 1 0 1 -6 7 -1 0 1 -10 25 -15 1 0 1 -15 65 -90 31 ]
DiagTri,A331327,[1 0 0 1 0 1 0 2 1 0 6 3 0 24 11 1 0 120 50 6 0 720 274 35 1 0 5040 ]
PolyTri,A094587,[1 0 1 0 1 1 0 2 2 1 0 6 6 3 1 0 24 24 12 4 1 0 120 120 60 20 5 1 0 ]
Sum,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ] 
EvenSum,A105752,[1 0 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
OddSum,A001710,[0 1 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
AltSum,A014028,[1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
DiagSum,A343579,[1 0 1 1 3 9 36 176 1030 7039 55098 486346 4780445 51787405 613045468 ]
Middle,A154415,[1 0 1 2 11 50 225 1624 6769 67284 269325 3416930 13339535 206070150 ]
Central,A187646,[1 1 11 225 6769 269325 13339535 790943153 54631129553 4308105301929 ] 
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A001147,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575 ]
NegHalf,A330797,[1 1 -1 3 -15 105 -945 10395 -135135 2027025 -34459425 654729075 ]
PolyVal2,A000142,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
PolyVal3,A001710,[1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
PolyValn,A000407,[1 1 6 60 840 15120 332640 8648640 259459200 8821612800 335221286400 ]
BinConv,A211210,[1 1 3 16 115 1021 10696 128472 1734447 25937683 424852351 7554471156 ]
IBinConv,A317274,[1 1 -1 -2 19 -79 76 2640 -36945 329371 -1861949 -4438774 355714228 ]
TransSqrs,A151881,[0 1 5 23 120 724 5012 39332 345832 3371976 36135792 422379792 ]
TransNat0,A000254,[0 1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ] 
TransNat1,A000774,[1 2 5 17 74 394 2484 18108 149904 1389456 14257440 160460640 ] 
