Trait,ANumber,Sequence
Triangle,A048993,[1 0 1 0 1 1 0 1 3 1 0 1 7 6 1 0 1 15 25 10 1 0 1 31 90 65 15 1 0 1 ]
Reverse,A106800,[1 1 0 1 1 0 1 3 1 0 1 6 7 1 0 1 10 25 15 1 0 1 15 65 90 31 1 0 1 21 ]
Inverse,A048994,[1 0 1 0 -1 1 0 2 -3 1 0 -6 11 -6 1 0 24 -50 35 -10 1 0 -120 274 -225 ]
RevInv,A054654,[1 1 0 1 -1 0 1 -3 2 0 1 -6 11 -6 0 1 -10 35 -50 24 0 1 -15 85 -225 ]
DiagTri,A136011,[1 0 0 1 0 1 0 1 1 0 1 3 0 1 7 1 0 1 15 6 0 1 31 25 1 0 1 63 90 10 0 ]
PolyTri,A189233,[1 0 1 0 1 1 0 2 2 1 0 5 6 3 1 0 15 22 12 4 1 0 52 94 57 20 5 1 0 203 ]
Sum,A000110,[1 1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
EvenSum,A024430,[1 0 1 3 8 25 97 434 2095 10707 58194 338195 2097933 13796952 ]
OddSum,A024429,[0 1 1 2 7 27 106 443 2045 10440 57781 340375 2115664 13847485 ]
AltSum,A000587,[1 -1 0 1 1 -2 -9 -9 50 267 413 -2180 -17731 -50533 110176 1966797 ]
DiagSum,A171367,1 0 1 1 2 4 9 22 58 164 495 1587 5379 19195 71872 281571 1151338 ]
Middle,A343279,[1 0 1 1 7 15 90 301 1701 7770 42525 246730 1323652 9321312 49329280 ]
Central,A007820,[1 1 7 90 1701 42525 1323652 49329280 2141764053 106175395755 ]
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A004211,[1 1 3 11 49 257 1539 10299 75905 609441 5284451 49134923 487026929 ]
NegHalf,A009235,[1 1 -1 -1 9 -23 -25 583 -3087 4401 79087 -902097 4783801 2361049 ]
PolyVal2,A001861,[1 2 6 22 94 454 2430 14214 89918 610182 4412798 33827974 273646526 ]
PolyVal3,A027710,[1 3 12 57 309 1866 12351 88563 681870 5597643 48718569 447428856 ]
PolyValn,A242817,[1 1 6 57 756 12880 268098 6593839 187104200 6016681467 216229931110 ]
BinConv,A122455,[1 1 3 13 71 456 3337 27203 243203 2357356 24554426 272908736 ]
IBinConv,A343841,[1 1 -1 -5 15 56 -455 -237 16947 -64220 -529494 6833608 -8606015 ]
TransSqrs,A033452,[0 1 5 22 99 471 2386 12867 73681 446620 2856457 19217243 135610448 ]
TransNat0,A005493,[0 1 3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 ]
TransNat1,A000110,[1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
