Trait,ANumber,Sequence
Triangle,A109956,[1 1 1 3 4 1 12 18 7 1 ]
Reverse,nothing,[1 1 1 1 4 3 1 7 18 12 ]
Inverse,A109955,[1 -1 1 1 -4 1 -1 10 -7 1 ]
RevInv,A193636,[1 1 -1 1 -4 1 1 -7 10 -1 ]
DiagTri,nothing,[1 1 3 1 12 4 55 18 1 273 ]
PolyTri,nothing,[1 1 1 3 2 1 12 8 3 1 ]
Sum,A047098,[1 2 8 38 196 1062 5948 34120 199316 1181126 ]
EvenSum,A047099,[1 1 4 19 98 531 2974 17060 99658 590563 ]
OddSum,A047099,[0 1 4 19 98 531 2974 17060 99658 590563 ]
AltSum,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
DiagSum,A109957,[1 1 4 16 74 368 1926 10455 58333 332489 ]
Middle,nothing,[1 1 4 18 42 245 510 3325 6578 45630 ]
Central,nothing,[1 4 42 510 6578 87696 1193808 16486756 230090850 3237004680 ]
LeftSide,A001764,[1 1 3 12 55 273 1428 7752 43263 246675 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,nothing,[1 3 21 183 1773 18303 197157 2189799 24891741 288132303 ]
NegHalf,nothing,[1 -1 5 -37 325 -3141 32261 -345605 3818501 -43197445 ]
PolyVal2,A005809,[1 3 15 84 495 3003 18564 116280 735471 4686825 ]
PolyVal3,nothing,[1 4 24 156 1048 7164 49488 344208 2405496 16868604 ]
BinConv,nothing,[1 2 12 88 700 5814 49588 430560 3786588 33622600 ]
IBinConv,nothing,[1 0 -4 22 -84 238 -380 -828 10556 -56144 ]
TransSqrs,nothing,[0 1 8 55 362 2343 15058 96500 617930 3957847 ]
TransNat0,nothing,[0 1 6 35 206 1227 7388 44900 275046 1696331 ]
TransNat1,nothing,[1 3 14 73 402 2289 13336 79020 474362 2877457 ]
