Trait,ANumber,Sequence
Triangle,A028246,[1 1 1 1 3 2 1 7 12 6 1 15 50 60 24 1 31 180 390 360 120 1 63 602 ]
Reverse,A075263,[1 1 1 2 3 1 6 12 7 1 24 60 50 15 1 120 360 390 180 31 1 720 2520 ]
InvRev,A106340,[1 -1 1 1 -3 1 -1 9 -7 1 1 -45 55 -15 1 -1 585 -835 285 -31 1 1 ]
DiagTri,nothing,[1 1 1 1 1 3 1 7 2 1 15 12 1 31 50 6 1 63 180 60 1 127 602 390 24 1 ]
PolyTri,nothing,[1 1 1 1 2 1 1 6 3 1 1 26 15 4 1 1 150 111 28 5 1 1 1082 1095 292 45 ]
Sum,A000629,[1 2 6 26 150 1082 9366 94586 1091670 14174522 204495126 3245265146 ]
EvenSum,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
OddSum,A000670,[0 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
AltSum,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
DiagSum,A229046,[1 1 2 4 10 28 88 304 1144 4648 20248 94024 463144 2409928 13198888 ]
Middle,nothing,[1 1 3 7 50 180 2100 10206 166824 1020600 21538440 158838240 ]
Central,A185157,[1 3 50 2100 166824 21538440 4115105280 1091804313600 384202115256960 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
PosHalf,A123227,[1 3 12 66 480 4368 47712 608016 8855040 145083648 2641216512 ]
NegHalf,A009006,[1 -1 0 2 0 -16 0 272 0 -7936 0 353792 0 -22368256 0 1903757312 0 ]
PolyVal2,A201339,[1 3 15 111 1095 13503 199815 3449631 68062695 1510769343 37260156615 ]
PolyVal3,A201354,[1 4 28 292 4060 70564 1471708 35810212 995827420 31153998244 ]
PolyValn,nothing,[1 2 15 292 10845 653406 58018051 7123041416 1155276253305 ]
BinConv,A000169,[1 2 9 64 625 7776 117649 2097152 43046721 1000000000 25937424601 ]
IBinConv,A343584,[1 0 -3 -10 25 574 2653 -30234 -644079 -2438722 102934381 2094370486 ]
TransSqrs,nothing,[0 1 11 109 1139 13021 164051 2273629 34497299 569871901 10193697491 ]
TransNat0,A343583,[0 1 7 49 391 3601 37927 451249 5995591 88073041 1418137447 ]
TransNat1,A000670,[1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
